,name,connected_component
2899,LiliBiggs Mini Apfel,
2936,Coop Naturaplan Haselnüsse gemahlen,
2950,hohes C reich an natürlichem Vitamin C ORANGE,
3014,BLUE ELEPHANT Royal Thai Cuisine Thai Basilikum,
3020,Edamama Edamame noodles BIO,
3043,Twinings of London English Breakfast Tea,
3044,Coop Qualité & Prix Vorzugsbutter,
3073,Alnavita Bio Ingwer Saft,
3076,Morga Suisse Türkische Aprikosen,
3109,4 large swiss organic eggs,
3132,Coo naturaplan bio Vollmilch,
3136,M Classic Distelöl raffiniert,
3148,Coop Qualité & Prix Seehecht Rückenfilets,
3177,Lipton Herbal Infusion Camomile Tea Bags,
3181,Coop Naturaplan Bio Loup,
3242,Migros Bio Karotten in Scheiben,
3271,QUALIBRESSE,
3276,Les Moulins FENDANT DU VALAIS APPELATION D'ORIGINE CONTRÔLÉE 2015,
3302,Coop Schwarze Linsen Beluga,
3316,Zwicky Maisgriess Semoule de maïs Sans Gluten,
3328,Agnesi le pennette rigate N87,
3337,Ülker Culinary Risi Teigware Aus Weizengrieß,
3339,Château Saint-André Grenache Syrah,
3395,,
3411,L'Armailli de Gruyère,
3412,Migros Pflaumen rot,
3441,Uncle Ben's Risotto,
3455,FONDUE PRÉPARATION AU FROMAGE ALPINA,
3466,M-Classic Vollkorn-Haterflöckli,
3471,ALTANATURA RISOTTO Riz pour risotto Arborio,
3477,coop Pro Montagna Bio Bündner-Rollgerste,
3486,coop Hello Family FAVORITES Kopfsalat,
3489,Coop Rotweinessig,
3493,coop Pro Montagna Kräutermantel,
3512,Coop Naturaplan Apfelessig,
3515,Anna's BEST Salatspinat,
3517,Coop Fine Food Medjool Dates,
3530,McCormick Rosmarin,
3531,COOP FINE FOOD GYOKURO Japanischer Gruntee ,
3537,Dona Weissmaisdunst,
3579,Coop Naturaplan Lindenblüten,
3588,Coop Qualité & Prix Mandeln ganz,
3591,Agnesi Le Penne Ricce N.21,
3598,Milco Doppelrahm,
3620,Hipp Williams-Christ Birne,
3631,Migros Bio Hirse,
3660,Innocent Tropical Juice,
3663,Migros Bio Magerquark,
3665,Migros Bio Hafernüssli,
3674,FARMER'S BEST SPECIALS Rote Kidney Bohnen,
3694,LA SEMEUSE : MOCCA,
3698,Coop Fine Food Bing Cherries,
3700,St. Dalfour Erdbeeren Pfirsiche Orangen mit Schale Schwarzkirschen,
3719,Ebly Zartweizen,
3744,Coop naturaplan Bratbutter,
3749,M Classic : Crisp Rice,
3755,"Prince Chester Café Royal Blonde City Roast, roasted coffee beans",
3797,Sabo Swiss Style Geröstetes Haselnussöl,
3799,Migros Oregano Gefriergetrocknet,
3804,Peperoni Trio mini,
3817,Nescafé Gold Serenade : le décaféiné,
3818,Coop : Qualité&Prix : Baumnüsse aus Grenoble getrocknet,
3828,Delizio Nonsolocaffe Tea Peppermint,
3830,Coop Naturaplan Blutorange,
3871,Erbsen extrafein,
3875,Rinds Markbeingeschnitten,
3894,J.B. OCEANE CRABE ROYAL,
3919,JaMaDu Vollreiswaffeln mit Honig,
3921,Coop Naturaplan Borlotti-Bohnen,
3934,Coop Naturaplan Rote Traube,
3943,Coop Naturaplan Pomodori triturati,
3949,Maître de Chais 2014 Heida,
3956,Coop Vorzugsbutter,
3960,Migros Die Butter,
3989,Coop Qualité & Prix Alaska-Seelachsfilets,
4017,Coop Qualité & Prix  Blütenhonig,
4032,Alnatura Birne pur,
